"Date","GOOG.Close","ZM.Close","TSLA.Close"
"2020-05-19",1373.484985,173.679993,161.602005
"2020-05-20",1406.719971,175.479996,163.112
"2020-05-21",1402.800049,172.029999,165.520004
"2020-05-22",1410.420044,171.059998,163.376007
"2020-05-26",1417.02002,164,163.774002
"2020-05-27",1417.839966,161.970001,164.046005
"2020-05-28",1416.72998,163.550003,161.162003
"2020-05-29",1428.920044,179.479996,167
"2020-06-01",1431.819946,204.149994,179.619995
"2020-06-02",1439.219971,208.080002,176.311996
"2020-06-03",1436.380005,223.869995,176.591995
"2020-06-04",1412.180054,210.350006,172.876007
"2020-06-05",1438.390015,207.600006,177.132004
"2020-06-08",1446.609985,209.830002,189.983994
"2020-06-09",1456.160034,205.429993,188.134003
"2020-06-10",1465.849976,221.020004,205.009995
"2020-06-11",1403.839966,222.070007,194.567993
"2020-06-12",1413.180054,219.520004,187.056
"2020-06-15",1419.849976,239.020004,198.179993
"2020-06-16",1442.719971,242.559998,196.425995
"2020-06-17",1451.119995,236.759995,198.358002
"2020-06-18",1435.959961,241.570007,200.792007
"2020-06-19",1431.719971,243.479996,200.179993
"2020-06-22",1451.859985,251.270004,198.863998
"2020-06-23",1464.410034,252.809998,200.356003
"2020-06-24",1431.969971,255.899994,192.169998
"2020-06-25",1441.329956,259.51001,197.195999
"2020-06-26",1359.900024,256.799988,191.947998
"2020-06-29",1394.969971,248.559998,201.869995
"2020-06-30",1413.609985,253.539993,215.962006
"2020-07-01",1438.040039,259.130005,223.925995
"2020-07-02",1464.699951,261.73999,241.731995
"2020-07-06",1495.699951,261,274.31601
"2020-07-07",1485.180054,262.100006,277.971985
"2020-07-08",1496,266.320007,273.175995
"2020-07-09",1510.98999,269.519989,278.855988
"2020-07-10",1541.73999,275.869995,308.929993
"2020-07-13",1511.339966,260.299988,299.411987
"2020-07-14",1520.579956,260.01001,303.359985
"2020-07-15",1513.640015,256.220001,309.201996
"2020-07-16",1518,248.539993,300.127991
"2020-07-17",1515.550049,246.539993,300.167999
"2020-07-20",1565.719971,268.579987,328.600006
"2020-07-21",1558.420044,260.440002,313.671997
"2020-07-22",1568.48999,261.179993,318.466003
"2020-07-23",1515.680054,251.5,302.614014
"2020-07-24",1511.869995,246.559998,283.399994
"2020-07-27",1530.199951,252.330002,307.920013
"2020-07-28",1500.339966,252.179993,295.298004
"2020-07-29",1522.02002,252.389999,299.821991
"2020-07-30",1531.449951,250,297.497986
"2020-07-31",1482.959961,253.910004,286.152008
"2020-08-03",1474.449951,268,297
"2020-08-04",1464.969971,267.339996,297.399994
"2020-08-05",1473.609985,272.899994,297.003998
"2020-08-06",1500.099976,268.25,297.915985
"2020-08-07",1494.48999,258.730011,290.541992
"2020-08-10",1496.099976,250,283.713989
"2020-08-11",1480.319946,231.039993,274.877991
"2020-08-12",1506.619995,236.720001,310.951996
"2020-08-13",1518.449951,247.25,324.200012
"2020-08-14",1507.72998,244.910004,330.141998
"2020-08-17",1517.97998,266.149994,367.127991
"2020-08-18",1558.599976,276.799988,377.417999
"2020-08-19",1547.530029,273.51001,375.705994
"2020-08-20",1581.75,290.690002,400.365997
"2020-08-21",1580.420044,289.679993,409.996002
"2020-08-24",1588.199951,282.279999,402.839996
"2020-08-25",1608.219971,290.440002,404.667999
"2020-08-26",1652.380005,295.269989,430.634003
"2020-08-27",1634.329956,294.679993,447.75
"2020-08-28",1644.410034,299.269989,442.679993
"2020-08-31",1634.180054,325.100006,498.320007
"2020-09-01",1660.709961,457.690002,475.049988
"2020-09-02",1728.280029,423.559998,447.369995
"2020-09-03",1641.839966,381.320007,407
"2020-09-04",1591.040039,369.890015,418.320007
"2020-09-08",1532.390015,350.880005,330.209991
"2020-09-09",1556.959961,389.649994,366.279999
"2020-09-10",1532.02002,384.480011,371.339996
"2020-09-11",1520.719971,383,372.720001
"2020-09-14",1519.280029,403.51001,419.619995
